ID	Cele.CC1.wo.FLT.Rep1	Cele.CC1.wo.FLT.Rep2	Cele.CC1.wo.FLT.Rep3	Cele.CC1.wo.GC.Rep1	Cele.CC1.wo.GC.Rep2	Cele.CC1.wo.GC.Rep3
186538_s_at	4.46605872685136	4.38752249643868	4.39660461766239	4.4016948330772	4.58231532012481	4.46579596752742
186539_s_at	6.67022247450485	5.84166643683965	6.13976697337915	4.76327183591663	4.85964251178224	4.97413217338972
186540_at	7.99384379648106	8.27061244903983	8.29843871819861	6.81781364938053	6.81094239894805	7.27540414651497
186541_at	5.07995355227937	5.44541425466476	5.46265752208527	5.9780194483567	5.97826834943608	6.42212321010098
186542_at	5.90572699346539	6.60766853457748	6.25648145798745	6.37671336969575	6.4149724249754	6.73631973801939
186543_s_at	3.48144965846165	3.85352569017312	3.72538624225928	3.59854999348437	3.77896980611024	3.82576550744978
186544_s_at	8.52524484626734	8.47871396977035	8.54651020801641	7.77647673567663	7.5596532636256	7.45478285070445
186545_s_at	9.24783733419443	8.94684661146425	8.81459709084449	8.94011885560903	8.68997284997739	8.5721946645646
186546_at	3.58039691479595	3.85486765448918	3.80929908998996	3.59460543671936	3.67100014669957	3.8312618086675
186547_at	4.01934964756713	4.44607988304429	4.1654019725451	4.11222798410376	4.67866941251964	4.35159289831228
186548_at	3.43764693513587	3.4446479460615	3.34294008433189	3.43650709316682	3.32636257820802	3.47716116070303
186549_at	6.0340978111373	5.45314148958101	5.52674327595357	5.51594625131858	5.45381292759887	5.37221795471676
186550_at	3.22257096722216	3.35784132690045	3.34786515970777	3.42183064991047	3.41103531340038	3.49046888468541
186551_at	3.1073957168458	3.11771607570207	3.20535156585375	3.06060637059502	3.31923211319565	3.28023749493228
186552_s_at	3.31178541356088	3.32253571362307	3.20751029923844	3.32844412461822	3.48919904769345	3.43501072406947
186553_at	7.0011669098942	6.70439826865138	6.67142612011842	6.48812006909221	6.17091458121368	6.35561766161944
186554_s_at	6.3829998594969	6.55100768666269	6.90794306488354	5.8468641514737	5.60247069095532	6.4696882822244
186555_at	4.53751107177458	4.56167181919886	4.58231532012481	4.69423752667043	5.01783222230052	4.90280605521677
186556_at	4.8999884002471	5.38393289013973	5.42527087626718	5.33002887054397	5.82950124241833	5.66308243943133
