Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
556		4.666	A	0.585
1475		"140,773"	A	0.565
117		5.859	A	0.686
1414		5.413	A	0.522
1465		15.53	A	0.444
1315		170.5	A	0.486
836		446.2	A	0.428
1401		"1,904"	A	0.523
141		"5,143"	A	0.53
3027		"15,744"	A	0.484
1638		"30,817"	A	0.617
758		6.292	A	0.825
3979	1.599	422.1	P	1.599
31142		6.694	A	0.976
2410	1.62	146.4	P	1.62
3394	1.268	102.3	P	1.268
3825	0.591	826.6	P	0.591
23028	1.304	745.1	P	1.304
17598	1.061	485.6	P	1.061
11744	0.47	328.7	P	0.47
25598	0.82	397	P	0.82
8206		4.159	A	0.6
17970		7.39	A	0.835
1911	1.159	211.9	P	1.159
12076	0.959	"2,745"	P	0.959
4933		6.72	A	0.871
8475	1.08	"17,304"	P	1.08
5589		6.989	A	0.921
18182		4.399	A	0.311
31887	1.252	29.84	P	1.252
13720		4.224	A	0.413
2512	1.307	288.3	P	1.307
659	1.232	119.5	P	1.232
13279	0.913	"6,599"	P	0.913
20212	1.068	"1,028"	P	1.068
6676	1.081	"4,765"	P	1.081
32577	1.122	"5,553"	P	1.122
9958	1.324	"3,433"	P	1.324
11670	1.345	"3,962"	P	1.345
9432	1.31	81.69	P	1.31
1046	2.058	65.29	P	2.058
650	1.164	"1,805"	P	1.164
16737	0.967	"1,072"	P	0.967
4805	1.254	"7,622"	P	1.254
7018	2.176	293.8	P	2.176
28344		4.137	A	0.623
28133		8.435	A	1.024
9656	0.888	"11,228"	P	0.888
32803	1.916	163.6	P	1.916
22949	1.67	120.4	P	1.67
20308		3.805	A	0.593
29547	0.942	"6,529"	P	0.942
17855	1.255	858.2	P	1.255
1804	0.824	231.9	P	0.824
6973	1.526	737.2	P	1.526
408	1.258	220.8	P	1.258
17829	0.837	"1,623"	P	0.837
28150	0.955	106.4	P	0.955
881		11.57	A	1.519
22402	1.126	227.5	P	1.126
35211		5.091	A	0.641
3924	1.609	78.43	P	1.609
29269	0.918	613.4	P	0.918
11076	2.982	41.15	P	2.982
4021		6.472	A	0.803
10061	1.06	"7,582"	P	1.06
36238	0.933	186.7	P	0.933
26672	1.13	22.79	P	1.13
17497	1.437	"1,017"	P	1.437
5733	1.158	"3,656"	P	1.158
7696	0.85	"1,511"	P	0.85
20393	0.864	"7,854"	P	0.864
13526	0.757	43.06	P	0.757
20243		18.14	A	1.284
19005	0.727	201.6	P	0.727
11193	1.016	903.9	P	1.016
1795	1.137	"10,468"	P	1.137
1907	1.32	26.05	P	1.32
7429	0.754	"2,052"	P	0.754
20060	0.463	"2,994"	P	0.463
21859	0.849	476.5	P	0.849
18258	1.065	"22,917"	P	1.065
5532		14.15	A	0.356
11116	1.757	88.05	P	1.757
9512		4.458	A	0.523
6049	1.016	"91,743"	P	1.016
29917	0.822	"2,330"	P	0.822
23210	1.034	"42,541"	P	1.034
2986	0.844	30.29	P	0.844
34874	1.195	48.07	P	1.195
2647	0.941	"1,387"	P	0.941
9444	1.279	"2,113"	P	1.279
4557	1.081	416.8	P	1.081
3710		9.74	A	1.288
13079	0.668	47.8	P	0.668
20739	0.802	34.85	P	0.802
22430	0.883	"117,595"	P	0.883
17556	1.372	59.07	P	1.372
20416	1.031	181.6	P	1.031
11219	0.899	"8,792"	P	0.899
12785	1.261	568	P	1.261
3322	0.885	540.1	P	0.885
3655	1.036	"7,876"	P	1.036
