Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
556		5	A	1.062
1475		"123,109"	A	0.837
117		4.802	A	0.952
1414		5.014	A	0.819
1465		15.64	A	0.757
1315		149.5	A	0.722
836		492.7	A	0.801
1401		"1,704"	A	0.792
141		"4,442"	A	0.776
3027		"14,968"	A	0.779
1638		"30,164"	A	1.023
758		4.839	A	1.075
3979	0.912	142.1	P	0.912
31142		8.429	A	2.081
2410	3.216	171.5	P	3.216
3394	1.316	62.68	P	1.316
3825	1.384	"1,143"	P	1.384
23028	0.803	270.7	P	0.803
17598	1.445	390.1	P	1.445
11744	2.182	900	P	2.182
25598	0.952	271.9	P	0.952
8206		4.309	A	1.054
17970	5.141	26.85	P	5.141
1911	0.674	72.75	P	0.674
12076	0.441	744.4	P	0.441
4933		4.857	A	1.067
8475	0.975	"9,223"	P	0.975
5589		4.476	A	0.999
18182		8.011	A	0.96
31887		4.893	A	0.348
13720		4.403	A	0.729
2512	1.227	159.7	P	1.227
659	2.322	133	P	2.322
13279	1.013	"4,322"	P	1.013
20212	0.399	226.6	P	0.399
6676	0.75	"1,952"	P	0.75
32577	0.819	"2,393"	P	0.819
9958	1.314	"2,010"	P	1.314
11670	0.766	"1,331"	P	0.766
9432	0.906	33.34	P	0.906
1046		18.39	A	0.982
650	0.601	550.5	P	0.601
16737	1.322	865.1	P	1.322
4805	1.14	"4,089"	P	1.14
7018	0.459	36.61	P	0.459
28344		4.507	A	1.15
28133		4.467	A	0.919
9656	1.25	"9,328"	P	1.25
32803		14.21	A	0.282
22949	1.652	70.27	P	1.652
20308		4.07	A	1.075
29547	1.001	"4,094"	P	1.001
17855	0.999	403.1	P	0.999
1804	1.856	308.3	P	1.856
6973	1.228	350.3	P	1.228
408	0.628	65.01	P	0.628
17829	1.698	"1,943"	P	1.698
28150	0.558	36.68	P	0.558
881		4.893	A	1.088
22402	1.151	137.3	P	1.151
35211		5.208	A	1.111
3924	1.184	34.07	P	1.184
29269	1.002	395.5	P	1.002
11076		9.589	A	1.177
4021		5.099	A	1.072
10061	1.29	"5,447"	P	1.29
36238	0.541	63.88	P	0.541
26672		6.901	A	0.58
17497	1.08	451.5	P	1.08
5733	0.884	"1,648"	P	0.884
7696	0.789	827.8	P	0.789
20393	1.014	"5,436"	P	1.014
13526	0.914	30.67	P	0.914
20243		4.302	A	0.516
19005	0.795	130.1	P	0.795
11193	0.776	407.6	P	0.776
1795	1.392	"7,562"	P	1.392
1907		5.355	A	0.46
7429	0.633	"1,016"	P	0.633
20060	0.835	"3,184"	P	0.835
21859	1.639	543	P	1.639
18258	0.918	"11,669"	P	0.918
5532		4.818	A	0.205
11116	1.117	33.03	P	1.117
9512		4.538	A	0.901
6049	1.064	"56,674"	P	1.064
29917	0.499	834.1	P	0.499
23210	0.958	"23,256"	P	0.958
2986		5.057	A	0.239
34874	1.152	27.35	P	1.152
2647	0.89	773.9	P	0.89
9444	0.914	890.6	P	0.914
4557	2.459	559.6	P	2.459
3710		4.707	A	1.054
13079	3.247	137.2	P	3.247
20739		13.85	A	0.54
22430	1.424	"111,951"	P	1.424
17556	1.485	37.75	P	1.485
20416	1.681	174.8	P	1.681
11219	0.881	"5,088"	P	0.881
12785	0.545	144.9	P	0.545
3322	1.217	438.2	P	1.217
3655	1.142	"5,123"	P	1.142
894	0.526	476.1	P	0.526
34335		5.448	A	1.066
28190	1.432	"5,661"	P	1.432
22602	1.379	960.5	P	1.379
8664		4.5	A	0.104
7275	1.221	"5,979"	P	1.221
22044	1.565	"1,828"	P	1.565
2793	0.677	504.7	P	0.677
7195		4.693	A	1.05
27041	1.173	81.55	P	1.173
9644	1.008	995.3	P	1.008
15884	0.804	250.4	P	0.804
713		5.355	A	1.078
1570	1.428	"19,482"	P	1.428
24507	0.411	53.7	P	0.411
31064		15.52	A	1.379
1091	0.676	61.94	P	0.676
2477	1.148	"1,789"	P	1.148
35276	1.441	"1,806"	P	1.441
16874	1.555	145.8	P	1.555
8057	1.491	253.5	P	1.491
18309	0.778	147.7	P	0.778
19463	0.574	346.1	P	0.574
13571	0.901	"1,559"	P	0.901
17783	0.929	"2,528"	P	0.929
1480	3.04	602.3	P	3.04
12973	0.66	"10,518"	P	0.66
8750		4.851	A	1.037
8547		10.95	A	0.528
22640	0.671	"5,246"	P	0.671
15569		4.225	A	1.039
19956	0.838	440.2	P	0.838
20706	0.647	282.6	P	0.647
13944	0.697	192.1	P	0.697
804	1.344	"26,229"	P	1.344
44581	0.908	626.8	P	0.908
1914	0.779	"1,478"	P	0.779
17433	1.256	"7,242"	P	1.256
33513		4.68	A	1.065
6682	0.905	139.2	P	0.905
19327		6.834	A	1.546
3131		4.372	A	1.039
26566		4.005	A	1.113
13775		18.39	A	0.687
30169	1.722	"2,566"	P	1.722
7074	1.049	"5,340"	P	1.049
11717	5.438	971.9	P	5.438
5164	1.082	90.13	P	1.082
10024	0.886	48.34	P	0.886
2954	0.632	127.9	P	0.632
31196	0.592	193.4	P	0.592
9694	0.973	108.9	P	0.973
30883	1.55	"2,562"	P	1.55
8036		21.24	A	3.277
16999	0.482	138.9	P	0.482
31305	0.883	"6,315"	P	0.883
6223	1.672	"2,161"	P	1.672
7870	0.434	304.6	P	0.434
25261	0.408	747.4	P	0.408
12661	1.334	"19,331"	P	1.334
9397	1.192	287.4	P	1.192
5804	1.426	"13,029"	P	1.426
1085	1.704	"2,565"	P	1.704
121	0.616	542.2	P	0.616
26195	1.119	44.11	P	1.119
5937	0.581	489.6	P	0.581
7113	1.047	"2,542"	P	1.047
4292	1.191	"8,547"	P	1.191
15959	1.154	126.5	P	1.154
28402	1.002	169.4	P	1.002
10621	3.913	357.3	P	3.913
25679	0.731	853.3	P	0.731
1643	1.364	602	P	1.364
6152	1.141	"2,359"	P	1.141
2711	1.609	100.6	P	1.609
13024	1.246	"6,110"	P	1.246
20166		4.352	A	1.109
4425	0.715	61.62	P	0.715
7299		4.223	A	1.042
24109	0.81	62.99	P	0.81
19527		5.831	A	1.47
16298	1.006	564.1	P	1.006
1280	0.811	"5,298"	P	0.811
23381	1.183	603.3	P	1.183
3342		5.294	A	1.141
18112		9.17	A	2.241
13043	0.586	"2,314"	P	0.586
17845	1.508	"7,896"	P	1.508
12627	1.531	"8,908"	P	1.531
45		6.966	A	1.546
11686	0.818	35.64	P	0.818
10887	0.86	"1,716"	P	0.86
9349	5.177	"2,468"	P	5.177
25757	1.398	265.7	P	1.398
29496	0.804	254.1	P	0.804
15728		4.893	A	1.09
16609	1.091	"8,536"	P	1.091
862	0.551	83.07	P	0.551
2865	1.4	"13,315"	P	1.4
22200		4.455	A	0.69
30456	0.429	"3,296"	P	0.429
3841	0.662	35.49	P	0.662
1264	1.13	71.15	P	1.13
2032	1.272	"8,823"	P	1.272
17111		4.408	A	0.98
32559	0.803	143.2	P	0.803
15675	1.092	946.5	P	1.092
6090		15.65	A	2.505
15343	1.192	36.88	P	1.192
17422		16.26	A	3.898
32525	1.316	"2,237"	P	1.316
4639	1.024	41.51	P	1.024
10123		22.34	A	0.401
2750	0.603	349.9	P	0.603
17936	0.755	22.17	P	0.755
4621	0.998	"14,491"	P	0.998
8136	1.732	66.81	P	1.732
309	1.332	718.4	P	1.332
20509	0.658	"5,308"	P	0.658
13936		11.04	A	0.876
61	1.114	"1,863"	P	1.114
7287	0.929	"2,192"	P	0.929
41946	1.498	"4,598"	P	1.498
34028	2.79	197.9	P	2.79
13687	0.915	"1,533"	P	0.915
4846	1.809	834.9	P	1.809
29521	0.673	132.6	P	0.673
18813	0.846	"2,326"	P	0.846
2724	0.777	296.8	P	0.777
1198	1.011	738.2	P	1.011
5207	0.981	32.08	P	0.981
2372	0.757	"1,042"	P	0.757
3084	1.376	"2,910"	P	1.376
26222	0.853	"1,684"	P	0.853
5233	1.55	"15,362"	P	1.55
32326	1.446	"59,484"	P	1.446
3329	0.911	700.5	P	0.911
28015	0.998	131.3	P	0.998
14307	0.193	191.6	P	0.193
21201		4.028	A	0.824
7684	0.471	"1,688"	P	0.471
28979	0.897	379.2	P	0.897
13730	1.578	95.08	P	1.578
5487	1.288	"1,406"	P	1.288
28394	0.462	456.3	P	0.462
36736		4.941	A	1.116
10699	3.305	155.5	P	3.305
22104	0.697	280.2	P	0.697
7980	1.266	128.4	P	1.266
4444	1.792	719.6	P	1.792
