Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
556		5.524	A	0.82
1475		"208,017"	A	0.988
117		11.38	A	1.576
1414		8.271	A	0.944
1465		26.18	A	0.885
1315		258.3	A	0.872
836		763	A	0.867
1401		"2,813"	A	0.914
141		"7,910"	A	0.965
3027		"25,383"	A	0.923
1638		"46,693"	A	1.106
758		4.863	A	0.755
3979	1.908	425.5	P	1.908
31142		18.73	A	3.232
2410	1.499	114.4	P	1.499
3394	0.417	28.41	P	0.417
3825	1.454	"1,719"	P	1.454
23028	1.807	871.8	P	1.807
17598	1.307	505.1	P	1.307
11744	0.406	239.7	P	0.406
25598	1.256	513.7	P	1.256
8206		4.755	A	0.812
17970	3.638	27.19	P	3.638
1911	0.899	138.8	P	0.899
12076	0.68	"1,643"	P	0.68
4933		5.536	A	0.85
8475	1.166	"15,779"	P	1.166
5589		5.115	A	0.798
18182		14.2	A	1.189
31887		13.92	A	0.692
13720	3.132	27.07	P	3.132
2512	2.579	480.3	P	2.579
659	1.196	98.03	P	1.196
13279	1.029	"6,278"	P	1.029
20212	1.752	"1,424"	P	1.752
6676	0.639	"2,378"	P	0.639
32577	1.128	"4,714"	P	1.128
9958	0.757	"1,657"	P	0.757
11670	1.786	"4,444"	P	1.786
9432	0.773	40.71	P	0.773
1046	1.422	38.09	P	1.422
650	0.5	655	P	0.5
16737	0.824	771.7	P	0.824
4805	0.835	"4,287"	P	0.835
7018	2.341	267	P	2.341
28344		7.597	A	1.354
28133		4.816	A	0.692
9656	0.854	"9,121"	P	0.854
32803	1.327	95.65	P	1.327
22949	3.613	220	P	3.613
20308		4.625	A	0.854
29547	0.772	"4,521"	P	0.772
17855	1.989	"1,149"	P	1.989
1804	1.162	276.2	P	1.162
6973	0.946	386.1	P	0.946
408	1.245	184.6	P	1.245
17829	0.784	"1,284"	P	0.784
28150	2.842	267.5	P	2.842
881		5.048	A	0.785
22402	2.581	440.7	P	2.581
35211		4.81	A	0.717
3924	0.995	40.95	P	0.995
29269	0.443	250	P	0.443
11076	4.224	49.23	P	4.224
4021		4.842	A	0.711
10061	0.987	"5,966"	P	0.987
36238	1.913	323.2	P	1.913
26672		8.367	A	0.491
17497	1.278	764.7	P	1.278
5733	1.245	"3,321"	P	1.245
7696	0.971	"1,457"	P	0.971
20393	0.79	"6,060"	P	0.79
13526	1.787	85.86	P	1.787
20243		18.45	A	1.546
19005	0.668	156.5	P	0.668
11193	0.788	591.7	P	0.788
1795	0.622	"4,834"	P	0.622
1907		16.09	A	0.965
7429	0.604	"1,389"	P	0.604
20060	3.374	"18,413"	P	3.374
21859	0.96	455.4	P	0.96
18258	0.943	"17,137"	P	0.943
5532	0.917	30.8	P	0.917
11116		11.15	A	0.263
9512		5.903	A	0.819
6049	1.24	"94,508"	P	1.24
29917	0.828	"1,982"	P	0.828
23210	0.783	"27,202"	P	0.783
2986		10.39	A	0.343
34874	1.333	45.28	P	1.333
2647	1.779	"2,215"	P	1.779
9444	1.124	"1,568"	P	1.124
4557	0.838	273	P	0.838
3710		4.784	A	0.749
13079	0.927	56.06	P	0.927
20739		20.91	A	0.57
22430	1.46	"164,284"	P	1.46
17556	2.69	97.86	P	2.69
20416	0.393	58.5	P	0.393
11219	0.833	"6,884"	P	0.833
12785	0.739	281.1	P	0.739
3322	1.364	703.3	P	1.364
3655	1.032	"6,629"	P	1.032
894	0.623	807.2	P	0.623
34335	7.701	56.33	P	7.701
28190	1.348	"7,624"	P	1.348
22602	2.385	"2,377"	P	2.385
8664	0.395	24.37	P	0.395
7275	2.803	"19,647"	P	2.803
22044	1.203	"2,009"	P	1.203
2793	1.759	"1,875"	P	1.759
7195		4.749	A	0.743
27041	1.306	129.9	P	1.306
9644	0.539	761.2	P	0.539
15884	0.424	189.1	P	0.424
713		10.17	A	1.43
