Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
556		3.735	A	0.504
1475		"211,620"	A	0.914
117		4.924	A	0.621
1414		5.143	A	0.533
1465		26.11	A	0.803
1315		263.6	A	0.809
836		807.3	A	0.834
1401		"2,989"	A	0.883
141		"7,980"	A	0.885
3027		"25,715"	A	0.851
1638		"44,401"	A	0.956
758		3.798	A	0.536
3979	1.138	279.2	P	1.138
31142	3.03	19.31	P	3.03
2410	2.465	207	P	2.465
3394	1.354	101.5	P	1.354
3825	0.883	"1,148"	P	0.883
23028	0.922	489.1	P	0.922
17598	1.091	463.8	P	1.091
11744	1.661	"1,078"	P	1.661
25598	0.894	401.9	P	0.894
8206		3.167	A	0.492
17970	3.007	24.72	P	3.007
1911	0.702	119.2	P	0.702
12076	0.617	"1,639"	P	0.617
4933		3.663	A	0.511
8475	1.11	"16,517"	P	1.11
5589		9.677	A	1.372
18182		8.563	A	0.652
31887	0.949	21.01	P	0.949
13720		5.02	A	0.528
2512	1.125	230.4	P	1.125
659	1.999	180.1	P	1.999
13279	1.002	"6,727"	P	1.002
20212	0.735	656.6	P	0.735
6676	0.811	"3,320"	P	0.811
32577	0.988	"4,538"	P	0.988
9958	1.046	"2,519"	P	1.046
11670	0.932	"2,551"	P	0.932
9432	0.825	47.78	P	0.825
1046	1.227	36.14	P	1.227
650	0.823	"1,186"	P	0.823
16737	1.387	"1,428"	P	1.387
4805	1.016	"5,733"	P	1.016
7018	1.038	130.1	P	1.038
28344		3.331	A	0.54
28133		5.923	A	0.774
9656	1.225	"14,392"	P	1.225
32803	0.847	67.2	P	0.847
22949	1.389	93.02	P	1.389
20308		3.144	A	0.528
29547	0.978	"6,293"	P	0.978
17855	1.121	712.3	P	1.121
1804	1.661	434	P	1.661
6973	1.248	560.3	P	1.248
408	0.889	144.9	P	0.889
17829	1.424	"2,564"	P	1.424
28150	0.994	102.9	P	0.994
881		3.595	A	0.508
22402	1.491	280	P	1.491
35211		3.79	A	0.514
3924	1.155	52.3	P	1.155
29269	0.938	582.4	P	0.938
11076		12.67	A	0.988
4021		3.746	A	0.5
10061	0.993	"6,601"	P	0.993
36238	0.841	156.2	P	0.841
26672		8.69	A	0.464
17497	0.997	655.9	P	0.997
5733	0.964	"2,828"	P	0.964
7696	1.195	"1,973"	P	1.195
20393	0.986	"8,325"	P	0.986
13526	0.911	48.15	P	0.911
20243	1.23	16.14	P	1.23
19005	0.801	206.2	P	0.801
11193	0.818	675.7	P	0.818
1795	1.203	"10,292"	P	1.203
1907		9.802	A	0.535
7429	0.841	"2,126"	P	0.841
20060	0.972	"5,832"	P	0.972
21859	1.082	564.2	P	1.082
18258	0.761	"15,225"	P	0.761
5532	0.455	16.83	P	0.455
11116	0.982	45.7	P	0.982
9512		3.395	A	0.428
6049	1.027	"86,079"	P	1.027
29917	0.685	"1,802"	P	0.685
23210	0.915	"34,970"	P	0.915
2986	0.687	22.91	P	0.687
34874	0.926	34.6	P	0.926
2647	1.074	"1,470"	P	1.074
9444	0.997	"1,530"	P	0.997
4557	1.722	617	P	1.722
3710	5.835	41	P	5.835
13079	1.868	124.2	P	1.868
20739	0.661	26.69	P	0.661
22430	1.308	"161,946"	P	1.308
17556	1.061	42.45	P	1.061
20416	1.483	242.7	P	1.483
11219	0.854	"7,762"	P	0.854
12785	0.739	309.2	P	0.739
3322	1.787	"1,013"	P	1.787
3655	1.012	"7,145"	P	1.012
894	0.584	831.1	P	0.584
34335		6.382	A	0.793
28190	0.866	"5,386"	P	0.866
22602	1.576	"1,727"	P	1.576
8664	0.403	27.33	P	0.403
7275	1.44	"11,097"	P	1.44
22044	1.318	"2,422"	P	1.318
2793	0.893	"1,047"	P	0.893
7195		3.372	A	0.479
27041	1.582	173.1	P	1.582
9644	1.056	"1,641"	P	1.056
15884	0.557	273.2	P	0.557
713		3.872	A	0.495
1570	1.258	"27,026"	P	1.258
24507	0.74	152.2	P	0.74
31064	1.256	22.24	P	1.256
1091	0.523	75.34	P	0.523
2477	1.006	"2,469"	P	1.006
35276	1.136	"2,240"	P	1.136
16874	1.152	169.9	P	1.152
8057	1.117	298.9	P	1.117
18309	0.702	209.7	P	0.702
19463	0.755	716.7	P	0.755
13571	1.077	"2,933"	P	1.077
17783	1.089	"4,663"	P	1.089
1480	2.328	726	P	2.328
12973	0.65	"16,323"	P	0.65
8750		3.621	A	0.492
8547		13.23	A	0.405
22640	0.871	"10,727"	P	0.871
15569		3.308	A	0.517
19956	0.913	754.4	P	0.913
20706	0.959	659.1	P	0.959
13944	0.832	360.9	P	0.832
804	1.22	"37,456"	P	1.22
44581	0.793	861.5	P	0.793
1914	0.924	"2,761"	P	0.924
17433	1.117	"10,137"	P	1.117
33513		5.692	A	0.823
6682	0.919	222.5	P	0.919
19327	2.728	18.98	P	2.728
3131		3.297	A	0.498
26566		3.024	A	0.534
13775	0.626	26.39	P	0.626
30169	1.516	"3,554"	P	1.516
7074	1.113	"8,918"	P	1.113
11717	3.574	"1,005"	P	3.574
5164	1.127	147.8	P	1.127
10024	0.798	68.5	P	0.798
2954	1.479	471.1	P	1.479
31196	1.817	933.5	P	1.817
9694	0.823	145	P	0.823
30883	1.293	"3,365"	P	1.293
8036	3.46	35.29	P	3.46
16999	0.588	266.2	P	0.588
31305	0.864	"9,724"	P	0.864
6223	1.69	"3,438"	P	1.69
7870	0.385	425.2	P	0.385
25261	0.564	"1,626"	P	0.564
12661	0.95	"21,667"	P	0.95
9397	1.166	442.5	P	1.166
5804	1.076	"15,474"	P	1.076
1085	1.958	"4,641"	P	1.958
121	0.715	989.4	P	0.715
26195	0.808	50.17	P	0.808
5937	0.763	"1,013"	P	0.763
7113	1.237	"4,726"	P	1.237
4292	1.077	"12,172"	P	1.077
15959	1.014	174.9	P	1.014
28402	0.929	247.4	P	0.929
10621	2.57	369.3	P	2.57
25679	0.916	"1,682"	P	0.916
1643	1.277	886.8	P	1.277
6152	1.116	"3,629"	P	1.116
2711	1.132	111.4	P	1.132
13024	1.321	"10,194"	P	1.321
20166		3.329	A	0.539
4425	0.972	131.9	P	0.972
7299		3.195	A	0.501
24109	0.728	89.05	P	0.728
19527		6.2	A	0.993
16298	0.839	740.4	P	0.839
1280	0.665	"6,837"	P	0.665
23381	1.093	877.3	P	1.093
3342		3.66	A	0.501
18112		10.3	A	1.6
13043	0.783	"4,870"	P	0.783
17845	1.296	"10,680"	P	1.296
12627	1.383	"12,661"	P	1.383
45		3.579	A	0.505
11686	0.503	34.53	P	0.503
10887	1.049	"3,296"	P	1.049
9349	4.041	"3,032"	P	4.041
25757	1.215	363.3	P	1.215
29496	0.863	429.3	P	0.863
15728		3.69	A	0.522
16609	1.057	"13,018"	P	1.057
862	0.636	150.8	P	0.636
2865	1.137	"17,017"	P	1.137
22200	1.652	16.8	P	1.652
30456	0.666	"8,052"	P	0.666
3841	0.698	58.95	P	0.698
1264	1.417	140.5	P	1.417
2032	1.157	"12,634"	P	1.157
17111		4.768	A	0.673
32559	0.738	207.1	P	0.738
15675	1.059	"1,446"	P	1.059
6090	4.209	41.41	P	4.209
15343	1.365	66.42	P	1.365
17422	2.623	17.22	P	2.623
32525	1.181	"3,159"	P	1.181
4639	0.712	45.45	P	0.712
10123	0.591	51.79	P	0.591
2750	0.643	587.6	P	0.643
17936	0.914	42.23	P	0.914
4621	1.209	"27,651"	P	1.209
8136	1.179	71.58	P	1.179
309	1.889	"1,603"	P	1.889
20509	0.573	"7,267"	P	0.573
13936	1.778	35.24	P	1.778
61	0.993	"2,614"	P	0.993
7287	1.299	"4,823"	P	1.299
41946	1.241	"5,998"	P	1.241
34028	2.373	264.9	P	2.373
13687	1.054	"2,779"	P	1.054
4846	1.773	"1,288"	P	1.773
29521	0.642	198.9	P	0.642
18813	1.093	"4,733"	P	1.093
2724	0.968	581.5	P	0.968
1198	0.88	"1,012"	P	0.88
5207	1.723	88.71	P	1.723
2372	0.855	"1,852"	P	0.855
3084	1.229	"4,092"	P	1.229
26222	0.905	"2,814"	P	0.905
5233	1.401	"21,856"	P	1.401
32326	1.251	"80,981"	P	1.251
3329	0.871	"1,053"	P	0.871
28015	0.872	180.7	P	0.872
14307	0.21	328.1	P	0.21
21201		5.467	A	0.711
7684	0.594	"3,351"	P	0.594
28979	1.154	768	P	1.154
13730	1.239	117.5	P	1.239
5487	1.145	"1,968"	P	1.145
28394	0.564	877.2	P	0.564
36736		9.298	A	1.334
10699	2.363	175	P	2.363
22104	0.811	513.2	P	0.811
7980	1.459	232.8	P	1.459
4444	1.608	"1,016"	P	1.608
10166	1.329	"13,116"	P	1.329
11674	1.276	"7,613"	P	1.276
4767	2.711	"1,708"	P	2.711
4931	1.018	"7,674"	P	1.018
16677	1.038	868.7	P	1.038
7570		3.426	A	0.501
3279	0.62	"1,371"	P	0.62
13498	0.763	"6,365"	P	0.763
8908	0.764	207.1	P	0.764
7015	1.114	"8,157"	P	1.114
29272		12.92	A	1.197
2270	1.337	"10,298"	P	1.337
21522	1.437	"1,507"	P	1.437
19884	0.927	"3,005"	P	0.927
12952	0.824	21.88	P	0.824
6091		6.249	A	0.513
22868	1.159	"6,068"	P	1.159
32089		8.169	A	1.179
27729		5.32	A	0.769
14700	0.899	"2,286"	P	0.899
11419		13.05	A	0.895
25840	0.534	49.36	P	0.534
30806	2.122	"2,188"	P	2.122
19859	0.832	"3,024"	P	0.832
142	0.895	120.3	P	0.895
9465	1.155	"1,225"	P	1.155
3440	0.951	"2,933"	P	0.951
9795	1.375	545.2	P	1.375
15990	1.244	"4,047"	P	1.244
27933	0.912	"3,931"	P	0.912
22099	0.856	41.91	P	0.856
5537	1.249	"1,424"	P	1.249
12075		7.419	A	1.096
28577	1.45	71.54	P	1.45
9324	1.081	881.6	P	1.081
15330		7.503	A	0.965
35234	2.354	"41,021"	P	2.354
443	1.028	"2,944"	P	1.028
2589	0.617	"2,592"	P	0.617
1180	1.114	"3,811"	P	1.114
16668	1.392	"1,041"	P	1.392
30329	0.972	"33,522"	P	0.972
6360	1.048	308.6	P	1.048
11324	1.025	374.5	P	1.025
25326	1.19	"1,089"	P	1.19
1879	1.154	391.9	P	1.154
18306	0.988	965	P	0.988
21726	0.778	"10,540"	P	0.778
25145	1.408	"13,765"	P	1.408
11150	1.189	"14,218"	P	1.189
32030		8.591	A	0.601
6786	1.402	"12,098"	P	1.402
7658	0.771	"26,713"	P	0.771
9128	1.654	147.7	P	1.654
10530	1.056	137.8	P	1.056
14212	0.274	"6,271"	P	0.274
12604		3.185	A	0.52
3821	1.149	"7,865"	P	1.149
21093	0.986	287.4	P	0.986
14820	0.999	"1,272"	P	0.999
16473		3.996	A	0.525
25444	1.657	50.2	P	1.657
3687	0.836	206.4	P	0.836
7402	0.549	22.51	P	0.549
9544		3.341	A	0.51
19971	1.157	"73,894"	P	1.157
20623	0.82	309.2	P	0.82
5970	0.842	"4,614"	P	0.842
298	0.854	107	P	0.854
5985	0.888	"3,127"	P	0.888
7955	1.058	"3,005"	P	1.058
21051	0.638	"16,581"	P	0.638
5984	1.046	"61,382"	P	1.046
22694	1.089	381.1	P	1.089
1952	1.078	45.15	P	1.078
32715	0.832	"12,139"	P	0.832
28185	0.754	30.47	P	0.754
24012	1.442	"23,205"	P	1.442
3070	1.497	370	P	1.497
5906	2.084	898.9	P	2.084
3212	1.579	634.3	P	1.579
10412	1.077	"6,252"	P	1.077
13051	1.07	250.5	P	1.07
37499	0.932	"176,990"	P	0.932
535		3.732	A	0.514
31386		3.493	A	0.518
1257	1.484	261	P	1.484
4191	1.743	80.05	P	1.743
6895	0.949	"192,807"	P	0.949
5576	1.035	"30,503"	P	1.035
26849	0.926	"22,665"	P	0.926
2862	1.535	50.17	P	1.535
8443		11.07	A	0.914
999	1.45	226	P	1.45
2420		7.491	A	0.576
26182	0.833	"5,988"	P	0.833
22669	1.666	78.45	P	1.666
20903	0.888	"1,265"	P	0.888
4438	0.783	"1,474"	P	0.783
35429	1.003	73.9	P	1.003
24752	0.759	840.2	P	0.759
2831	0.752	"1,517"	P	0.752
12280	1.08	"1,604"	P	1.08
29916	1.088	"11,589"	P	1.088
5596	0.755	"10,439"	P	0.755
3788	0.746	"11,374"	P	0.746
10959	1.072	"10,578"	P	1.072
14052	1.162	"9,407"	P	1.162
9439	1.838	20.53	P	1.838
25223	0.613	87.26	P	0.613
4288	1.357	670.4	P	1.357
3078	1.284	793.9	P	1.284
33760	1.076	"10,263"	P	1.076
4712	0.692	360.2	P	0.692
27583	0.694	291	P	0.694
2809	1.02	"1,439"	P	1.02
5843	1.16	164	P	1.16
6582	0.909	"2,145"	P	0.909
5648	1.312	"1,208"	P	1.312
24224	1.281	"10,123"	P	1.281
19383	1.419	"2,536"	P	1.419
2070	1.12	"1,581"	P	1.12
31257	1.618	"48,076"	P	1.618
31513		3.142	A	0.528
9564		6.178	A	0.357
3683	0.969	"2,884"	P	0.969
33676	2.058	"5,193"	P	2.058
22260	0.542	287.9	P	0.542
3647	0.578	15.61	P	0.578
15341		3.195	A	0.296
21411		11.14	A	0.452
17175	0.875	"3,364"	P	0.875
11371	1.322	782.6	P	1.322
4470	1.67	714.8	P	1.67
35267	1.271	"5,232"	P	1.271
4950	1.209	603.7	P	1.209
31116		3.75	A	0.503
5007	0.842	94.54	P	0.842
26966	0.951	844.1	P	0.951
4570	0.808	"2,092"	P	0.808
28356	0.929	"1,245"	P	0.929
5602	0.664	"3,240"	P	0.664
10139	0.809	727.5	P	0.809
31275	0.811	"2,546"	P	0.811
458	1.015	"29,170"	P	1.015
538	0.935	"17,625"	P	0.935
18924	1.035	900.9	P	1.035
14632	2.804	304.8	P	2.804
5983	1.034	"9,941"	P	1.034
21805	1.183	"8,349"	P	1.183
12272		12.77	A	1.151
12134	0.516	"1,024"	P	0.516
13078	1.125	"1,956"	P	1.125
10951	1.165	513.1	P	1.165
24061	0.712	131.1	P	0.712
15821	0.753	131.1	P	0.753
9137	1.645	"2,063"	P	1.645
9060	0.983	"23,709"	P	0.983
8510		3.418	A	0.41
7634	1.792	535.5	P	1.792
35289		8.871	A	0.738
17142	0.817	267.4	P	0.817
1691	1.172	163.1	P	1.172
3162	0.414	618.7	P	0.414
1311	1.291	"15,915"	P	1.291
6387	1.552	475.1	P	1.552
16534	0.98	"21,157"	P	0.98
7409	1.035	"3,125"	P	1.035
6389	0.592	"5,270"	P	0.592
4471	0.907	"4,070"	P	0.907
11473	0.799	128.1	P	0.799
4559	0.796	849.2	P	0.796
20116	0.941	"12,461"	P	0.941
23102	1.052	"1,345"	P	1.052
236	0.866	360.9	P	0.866
3031	0.893	198	P	0.893
4075	0.904	"6,426"	P	0.904
35768	0.885	"3,951"	P	0.885
1730	0.783	"13,153"	P	0.783
16764	1.179	"7,660"	P	1.179
18564	1.282	220.5	P	1.282
28399	1.079	"1,621"	P	1.079
2945	1.056	"1,053"	P	1.056
16718	0.817	"23,818"	P	0.817
4228	1.009	32.08	P	1.009
11016	1.003	22.35	P	1.003
26746	0.529	"1,410"	P	0.529
3790	0.966	785.3	P	0.966
17623	1.206	42.14	P	1.206
31571	0.907	235.6	P	0.907
9515	0.727	117.5	P	0.727
10210	1.691	181.6	P	1.691
20499		3.786	A	0.559
6058		5.288	A	0.725
10334	0.989	"7,416"	P	0.989
7286	1.25	"2,166"	P	1.25
10688	1.504	104.3	P	1.504
32473	0.861	42.54	P	0.861
20738	2.395	"1,304"	P	2.395
1370	1.119	504.6	P	1.119
3594	1.073	"20,900"	P	1.073
1964	0.907	485.3	P	0.907
8142	0.757	"2,161"	P	0.757
39263	0.915	"3,986"	P	0.915
18455	7.51	45.32	P	7.51
28348	0.925	431.6	P	0.925
7724	1.237	"4,933"	P	1.237
26612	1.129	"2,142"	P	1.129
13330	1.003	"5,715"	P	1.003
2824	1.004	351.2	P	1.004
20650	1.537	223.4	P	1.537
12286	0.951	"6,608"	P	0.951
27156	1.066	444.9	P	1.066
542	1.148	"1,009"	P	1.148
20066	0.932	"1,663"	P	0.932
28805	1.2	33.23	P	1.2
10799	1.708	639.9	P	1.708
28741	0.907	"40,459"	P	0.907
4079		13.25	A	1.217
38436	2.82	493.7	P	2.82
22802	0.884	"2,318"	P	0.884
1677		6.52	A	0.608
26117	0.924	"13,530"	P	0.924
19881	0.685	418.9	P	0.685
17196	1.127	"101,455"	P	1.127
6141	1.031	"9,479"	P	1.031
10254	0.972	490.2	P	0.972
37101	1.009	"1,931"	P	1.009
4010	2.047	530.2	P	2.047
22915	0.768	23.85	P	0.768
20178	1.879	961.2	P	1.879
8170	0.501	723.2	P	0.501
8544	0.733	211.9	P	0.733
17618	1.381	"1,139"	P	1.381
29526	1.182	"12,315"	P	1.182
18048	1.181	"1,059"	P	1.181
2241		8.285	A	1.016
35687	1.26	850.9	P	1.26
7613	1.146	"13,506"	P	1.146
7672	1.127	"3,462"	P	1.127
238	1.751	155.9	P	1.751
474	1.511	138.2	P	1.511
18400	1.987	627.2	P	1.987
4424	2.478	24.01	P	2.478
5046	0.771	"5,479"	P	0.771
16286	0.96	"9,959"	P	0.96
7820	1.674	693.1	P	1.674
5385		4.137	A	0.616
3003		3.766	A	0.504
29470	0.812	406.1	P	0.812
12099	1.151	"2,194"	P	1.151
19806	0.9	"1,404"	P	0.9
9868	0.854	"1,534"	P	0.854
13269	0.3	175.1	P	0.3
14910		3.187	A	0.518
25293	0.862	"9,636"	P	0.862
30794	1.078	56.4	P	1.078
33439	0.91	"5,833"	P	0.91
14095	1.15	"11,018"	P	1.15
9050	1.281	"1,534"	P	1.281
28077	1.343	"2,159"	P	1.343
37544	0.882	48.04	P	0.882
20460	1.085	"5,844"	P	1.085
3120	0.889	"5,884"	P	0.889
32497	0.731	34.25	P	0.731
1757	2.548	56.3	P	2.548
4565	1.138	"1,144"	P	1.138
5163	0.932	"6,147"	P	0.932
16499	0.946	137.1	P	0.946
16589	1.082	"2,125"	P	1.082
9716	0.601	"23,724"	P	0.601
16337	1.353	128.6	P	1.353
19769	1.191	"1,703"	P	1.191
15929	0.525	"1,795"	P	0.525
8211	1.425	29.75	P	1.425
8181	0.799	"2,818"	P	0.799
36113	1.197	"3,111"	P	1.197
