Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
556		3.389	A	0.435
1475		"251,616"	A	1.033
117		6.344	A	0.76
1414		6.145	A	0.606
1465		34.68	A	1.014
1315		345.4	A	1.008
836		"1,013"	A	0.995
1401		"3,821"	A	1.074
141		"10,448"	A	1.102
3027		"33,099"	A	1.041
1638		"53,856"	A	1.103
758		3.467	A	0.465
3979	1.594	410.9	P	1.594
31142		7.449	A	1.111
2410	1.593	140.6	P	1.593
3394	0.879	69.26	P	0.879
3825	1.314	"1,796"	P	1.314
23028	1.761	982.8	P	1.761
17598	1.093	488.3	P	1.093
11744	0.552	376.8	P	0.552
25598	1.658	784.2	P	1.658
8206		3.089	A	0.456
17970		6.853	A	0.793
1911	1.198	213.9	P	1.198
12076	1.05	"2,934"	P	1.05
4933		9.011	A	1.196
8475	0.95	"14,868"	P	0.95
5589		9.598	A	1.295
18182	1.572	21.71	P	1.572
31887	1.785	41.53	P	1.785
13720	2.841	28.39	P	2.841
2512	1.372	295.6	P	1.372
659	1.398	132.5	P	1.398
13279	1.061	"7,487"	P	1.061
20212	1.095	"1,029"	P	1.095
6676	1.039	"4,473"	P	1.039
32577	1.343	"6,491"	P	1.343
9958	0.796	"2,016"	P	0.796
11670	1.268	"3,647"	P	1.268
9432	0.739	45.04	P	0.739
1046	0.928	28.74	P	0.928
650	0.868	"1,314"	P	0.868
16737	1.224	"1,326"	P	1.224
4805	0.869	"5,158"	P	0.869
7018	1.97	259.8	P	1.97
28344		3.226	A	0.497
28133		6.247	A	0.776
9656	0.988	"12,197"	P	0.988
32803	1.788	149.1	P	1.788
22949	1.71	120.4	P	1.71
20308		2.958	A	0.472
29547	1.008	"6,824"	P	1.008
17855	1.385	925	P	1.385
1804	1.052	289.1	P	1.052
6973	1.104	520.8	P	1.104
408	1.559	267.2	P	1.559
17829	0.857	"1,622"	P	0.857
28150	1.251	136.2	P	1.251
881		6.029	A	0.81
22402	1.024	202.2	P	1.024
35211		3.74	A	0.482
3924	1.798	85.58	P	1.798
29269	0.659	430.5	P	0.659
11076	1.983	26.72	P	1.983
4021		4.261	A	0.541
10061	0.924	"6,459"	P	0.924
36238	1.067	208.4	P	1.067
26672	1.258	24.79	P	1.258
17497	1.256	869	P	1.256
5733	1.175	"3,623"	P	1.175
7696	0.661	"1,147"	P	0.661
20393	0.953	"8,458"	P	0.953
13526	1.144	63.55	P	1.144
20243	1.238	17.09	P	1.238
19005	0.711	192.5	P	0.711
11193	0.917	796.4	P	0.917
1795	1.107	"9,957"	P	1.107
1907	1.382	26.63	P	1.382
7429	0.864	"2,295"	P	0.864
20060	0.741	"4,674"	P	0.741
21859	1.037	568.4	P	1.037
18258	1.114	"23,433"	P	1.114
5532	0.832	32.32	P	0.832
11116	1.408	68.91	P	1.408
9512		3.269	A	0.392
6049	1.168	"103,012"	P	1.168
29917	0.853	"2,362"	P	0.853
23210	0.803	"32,258"	P	0.803
2986	0.96	33.67	P	0.96
34874	0.964	37.87	P	0.964
2647	1.072	"1,543"	P	1.072
9444	0.92	"1,485"	P	0.92
4557	1.301	490	P	1.301
3710		3.366	A	0.456
13079	0.916	64.08	P	0.916
20739	0.954	40.5	P	0.954
22430	1.017	"132,302"	P	1.017
17556	1.244	52.33	P	1.244
20416	0.819	141	P	0.819
11219	1.146	"10,947"	P	1.146
12785	1.126	495.5	P	1.126
3322	0.527	314.3	P	0.527
3655	1.076	"7,987"	P	1.076
894	0.88	"1,318"	P	0.88
34335		7.326	A	0.866
28190	1.024	"6,703"	P	1.024
22602	1.128	"1,300"	P	1.128
8664	0.9	64.17	P	0.9
7275	1.086	"8,802"	P	1.086
22044	1.363	"2,634"	P	1.363
2793	1.495	"1,843"	P	1.495
7195		3.337	A	0.451
27041	0.677	77.85	P	0.677
9644	0.826	"1,349"	P	0.826
15884	0.611	315.2	P	0.611
713		3.848	A	0.468
1570	1.169	"26,392"	P	1.169
24507	0.568	122.8	P	0.568
31064	2.607	48.52	P	2.607
1091	1.552	235.2	P	1.552
2477	1.303	"3,362"	P	1.303
35276	0.83	"1,721"	P	0.83
16874	1.574	244.2	P	1.574
8057	0.977	274.7	P	0.977
18309	1.009	317	P	1.009
19463	0.608	607.2	P	0.608
13571	0.784	"2,245"	P	0.784
17783	1.194	"5,379"	P	1.194
1480	1.677	550	P	1.677
12973	0.887	"23,405"	P	0.887
8750		3.497	A	0.452
8547	1.238	42.48	P	1.238
22640	1.244	"16,107"	P	1.244
15569	3.401	22.88	P	3.401
19956	1.232	"1,071"	P	1.232
20706	2.334	"1,687"	P	2.334
13944	2.158	984.6	P	2.158
804	0.806	"26,020"	P	0.806
44581	0.723	825.4	P	0.723
1914	0.805	"2,528"	P	0.805
17433	1.004	"9,577"	P	1.004
33513		8.846	A	1.216
6682	1.174	298.8	P	1.174
19327		11.04	A	1.509
3131		3.18	A	0.457
26566		3.577	A	0.6
13775	1.437	63.64	P	1.437
30169	1.355	"3,340"	P	1.355
7074	1.102	"9,286"	P	1.102
11717	2.566	759	P	2.566
5164	0.765	105.4	P	0.765
10024	0.796	71.86	P	0.796
2954	2.246	752.2	P	2.246
31196	0.577	311.8	P	0.577
9694	1.177	218.1	P	1.177
30883	1.341	"3,669"	P	1.341
8036		13.34	A	1.244
16999	1.084	516.2	P	1.084
31305	1.015	"12,020"	P	1.015
6223	0.979	"2,095"	P	0.979
7870	0.746	866.3	P	0.746
25261	0.896	"2,717"	P	0.896
12661	0.732	"17,549"	P	0.732
9397	0.47	187.5	P	0.47
5804	1.078	"16,292"	P	1.078
1085	0.786	"1,960"	P	0.786
121	1.205	"1,754"	P	1.205
26195	0.938	61.23	P	0.938
5937	1.31	"1,828"	P	1.31
7113	1.084	"4,355"	P	1.084
4292	1.048	"12,452"	P	1.048
15959	1.123	203.7	P	1.123
28402	0.848	237.4	P	0.848
10621	1.106	167.2	P	1.106
25679	1.095	"2,114"	P	1.095
1643	0.697	508.8	P	0.697
6152	0.92	"3,145"	P	0.92
2711	0.682	70.59	P	0.682
13024	0.445	"3,612"	P	0.445
20166		3.168	A	0.488
4425	1.972	281.4	P	1.972
7299	4.027	27.01	P	4.027
24109	0.742	95.44	P	0.742
19527		9.175	A	1.398
