Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
556		5.59	A	0.704
1475		"248,153"	A	1
117		8.502	A	1
1414		6.062	A	0.587
1465		34.84	A	1
1315		349	A	1
836		"1,054"	A	1.016
1401		"3,788"	A	1.045
141		"9,871"	A	1.022
3027		"34,572"	A	1.067
1638		"49,733"	A	1
758		5.446	A	0.717
3979	1.162	305.2	P	1.162
31142		5.79	A	0.848
2410	1.324	119.1	P	1.324
3394	1	80.28	P	1
3825	1.327	"1,848"	P	1.327
23028	1.471	836.4	P	1.471
17598	0.991	451.4	P	0.991
11744	1	695.4	P	1
25598	1	481.8	P	1
8206		4.853	A	0.704
17970		8.807	A	1
1911	1.02	185.6	P	1.02
12076	1.072	"3,051"	P	1.072
4933		5.563	A	0.725
8475	1	"15,944"	P	1
5589		5.802	A	0.768
18182		14.08	A	1
31887		23.71	A	1
13720		10.18	A	1
2512	1	219.4	P	1
659	1.235	119.2	P	1.235
13279	1	"7,192"	P	1
20212	1	957.6	P	1
6676	1.021	"4,480"	P	1.021
32577	1.103	"5,429"	P	1.103
9958	1.012	"2,610"	P	1.012
11670	1.04	"3,049"	P	1.04
9432	0.872	54.11	P	0.872
1046	0.977	30.84	P	0.977
650	1	"1,544"	P	1
16737	1	"1,103"	P	1
4805	1.054	"6,371"	P	1.054
7018	1.335	179.4	P	1.335
28344		5.127	A	0.776
28133		7.534	A	0.919
9656	0.957	"12,042"	P	0.957
32803	1	84.96	P	1
22949	1.915	137.4	P	1.915
20308		5.606	A	0.879
29547	1	"6,897"	P	1
17855	1.022	695.3	P	1.022
1804	0.939	263	P	0.939
6973	0.916	440.3	P	0.916
408	1	174.7	P	1
17829	0.948	"1,828"	P	0.948
28150	1	110.9	P	1
881		6.425	A	0.848
22402	1	201.2	P	1
35211		5.935	A	0.751
3924	1.308	63.47	P	1.308
29269	1.013	673.8	P	1.013
11076		12.65	A	0.921
4021		5.713	A	0.712
10061	1	"7,119"	P	1
36238	0.897	178.6	P	0.897
26672		20.08	A	1
17497	0.908	639.9	P	0.908
5733	1	"3,143"	P	1
7696	1	"1,768"	P	1
20393	1.027	"9,283"	P	1.027
13526	1	56.6	P	1
20243		14.06	A	1
19005	0.758	209.2	P	0.758
11193	0.909	805	P	0.909
1795	1	"9,163"	P	1
1907		19.64	A	1
7429	1	"2,707"	P	1
20060	1.128	"7,252"	P	1.128
21859	1	558.7	P	1
18258	1.017	"21,791"	P	1.017
5532	1	39.59	P	1
11116	1.246	62.17	P	1.246
9512		8.117	A	0.956
6049	1	"89,835"	P	1
29917	1.022	"2,882"	P	1.022
