Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
556		3.831	A	1.023
1475		"124,830"	A	1.067
117		3.961	A	0.988
1414		4.871	A	1
1465		16.24	A	0.988
1315		165.1	A	1.003
836		489.3	A	1
1401		"1,710"	A	1
141		"4,554"	A	1
3027		"15,275"	A	1
1638		"32,779"	A	1.398
758		3.613	A	1.009
3979	0.945	117.1	P	0.945
31142		6.334	A	1.967
2410	1	42.42	P	1
3394	0.91	34.44	P	0.91
3825	1	656.8	P	1
23028	0.845	226.6	P	0.845
17598	1.355	291	P	1.355
11744	1.434	470.4	P	1.434
25598	1.009	229.3	P	1.009
8206		3.269	A	1.005
17970		3.327	A	0.801
1911	1	85.8	P	1
12076	0.79	"1,061"	P	0.79
4933		3.62	A	1
8475	0.776	"5,834"	P	0.776
5589	7.868	28.03	P	7.868
18182		4.184	A	0.63
31887		5.482	A	0.49
13720		7.055	A	1.469
2512	1.038	107.5	P	1.038
659	1	45.53	P	1
13279	1.151	"3,905"	P	1.151
20212	0.662	298.7	P	0.662
6676	1	"2,069"	P	1
32577	0.873	"2,026"	P	0.873
9958	1	"1,217"	P	1
11670	0.769	"1,063"	P	0.769
9432	1.301	38.08	P	1.301
1046	1.242	18.49	P	1.242
650	0.88	640.3	P	0.88
16737	1.109	576.7	P	1.109
4805	1	"2,852"	P	1
7018	0.781	49.46	P	0.781
28344		3.33	A	1.069
28133		3.867	A	1
9656	1	"5,935"	P	1
32803	0.495	19.83	P	0.495
22949	0.715	24.17	P	0.715
20308		3.082	A	1.024
29547	1.025	"3,334"	P	1.025
17855	0.955	306.4	P	0.955
1804	1.065	140.6	P	1.065
6973	1	226.8	P	1
408	0.872	71.79	P	0.872
17829	1.055	960	P	1.055
28150	0.724	37.87	P	0.724
881		3.575	A	1
22402	0.988	93.76	P	0.988
35211		3.854	A	1.034
3924	1	22.88	P	1
29269	1	313.7	P	1
11076	3.167	20.51	P	3.167
4021		3.855	A	1.019
10061	1.107	"3,718"	P	1.107
36238	1.058	99.37	P	1.058
26672	5.073	48.03	P	5.073
17497	1.016	337.6	P	1.016
5733	0.992	"1,470"	P	0.992
7696	0.748	623.8	P	0.748
20393	1	"4,265"	P	1
13526	1.037	27.67	P	1.037
20243	2.465	16.35	P	2.465
19005	1	130.1	P	1
11193	1	417.4	P	1
1795	1.057	"4,570"	P	1.057
1907		4.267	A	0.461
7429	0.899	"1,147"	P	0.899
20060	1	"3,032"	P	1
21859	1.762	464.3	P	1.762
18258	1	"10,103"	P	1
5532		10.24	A	0.549
11116	1	23.52	P	1
9512	7.156	28.65	P	7.156
6049	1.25	"52,958"	P	1.25
29917	0.781	"1,039"	P	0.781
23210	1	"19,306"	P	1
2986		15.21	A	0.903
34874	1.327	25.06	P	1.327
2647	0.944	652.7	P	0.944
9444	1	775.2	P	1
4557	1	181	P	1
3710		3.55	A	1
13079	1.016	34.15	P	1.016
20739	1.412	28.8	P	1.412
22430	1.086	"67,934"	P	1.086
17556	1	20.21	P	1
20416	1.115	92.18	P	1.115
11219	1.082	"4,968"	P	1.082
12785	0.857	181.2	P	0.857
3322	1	286.4	P	1
3655	1	"3,568"	P	1
894	0.904	650.1	P	0.904
34335		4.064	A	1
28190	1.166	"3,667"	P	1.166
22602	1	553.7	P	1
8664	1	34.25	P	1
7275	0.824	"3,208"	P	0.824
22044	1	928.4	P	1
2793	0.901	533.4	P	0.901
7195		3.57	A	1.005
27041	1	55.26	P	1
9644	0.94	737.6	P	0.94
15884	1.07	265.2	P	1.07
713		3.95	A	1
1570	1	"10,850"	P	1
24507	0.874	90.8	P	0.874
31064		10.25	A	1.146
1091	1.08	78.63	P	1.08
2477	1	"1,239"	P	1
35276	1.726	"1,720"	P	1.726
16874	0.907	67.56	P	0.907
8057	1.365	184.5	P	1.365
18309	1	150.9	P	1
19463	0.87	417.1	P	0.87
13571	1	"1,376"	P	1
17783	0.934	"2,020"	P	0.934
1480	1	157.5	P	1
12973	0.996	"12,636"	P	0.996
8750		3.719	A	1
8547	1.148	18.93	P	1.148
22640	1	"6,220"	P	1
15569		3.233	A	1
19956	0.909	379.4	P	0.909
20706	0.786	272.8	P	0.786
13944	0.858	188.1	P	0.858
804	1.198	"18,591"	P	1.198
44581	1	548.9	P	1
1914	0.82	"1,238"	P	0.82
17433	1.072	"4,913"	P	1.072
33513		3.494	A	1
6682	1.025	125.3	P	1.025
19327		3.516	A	1
3131		3.308	A	0.988
26566	12.15	34.78	P	12.15
13775	1.027	21.86	P	1.027
30169	1	"1,185"	P	1
7074	0.938	"3,797"	P	0.938
11717	0.904	128.5	P	0.904
5164	0.983	65.16	P	0.983
10024	1.14	49.45	P	1.14
2954	1.814	291.9	P	1.814
31196	0.528	137	P	0.528
9694	1	89.03	P	1
30883	1.108	"1,457"	P	1.108
8036		4.536	A	0.88
16999	1.029	235.4	P	1.029
31305	0.952	"5,417"	P	0.952
6223	1.062	"1,092"	P	1.062
7870	0.896	500.1	P	0.896
25261	0.785	"1,144"	P	0.785
12661	1.297	"14,953"	P	1.297
9397	1.221	234	P	1.221
5804	1	"7,264"	P	1
1085	0.963	"1,153"	P	0.963
121	0.984	688.4	P	0.984
26195	1.092	34.23	P	1.092
5937	0.786	527.2	P	0.786
7113	0.899	"1,735"	P	0.899
4292	0.997	"5,691"	P	0.997
15959	1.125	98	P	1.125
28402	1.15	154.7	P	1.15
10621	1	72.61	P	1
25679	1	927.8	P	1
1643	1	350.9	P	1
6152	1.031	"1,695"	P	1.031
2711	1.321	65.71	P	1.321
13024	1.108	"4,320"	P	1.108
20166		3.327	A	1.067
4425	0.715	49.02	P	0.715
7299		3.223	A	1
24109	1.039	64.24	P	1.039
19527		5.012	A	1.589
16298	0.879	391.8	P	0.879
1280	1	"5,196"	P	1
23381	1.063	431	P	1.063
3342		9.506	A	2.577
18112		5.578	A	1.714
13043	0.811	"2,547"	P	0.811
17845	1.159	"4,826"	P	1.159
12627	1.131	"5,233"	P	1.131
45		3.583	A	1
11686	0.97	33.61	P	0.97
10887	0.989	"1,571"	P	0.989
9349	1.421	538.7	P	1.421
25757	1	151.1	P	1
29496	0.979	246.1	P	0.979
15728		3.726	A	1.043
16609	1	"6,220"	P	1
862	1	119.8	P	1
2865	1	"7,560"	P	1
22200		5.379	A	1.047
30456	0.706	"4,310"	P	0.706
