Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
556		7.793	A	1
1475		"208,430"	A	0.856
117		8.676	A	1.04
1414		10.67	A	1.053
1465		34.51	A	1.009
1315		280.7	A	0.82
836		800.9	A	0.787
1401		"3,143"	A	0.883
141		"8,060"	A	0.851
3027		"25,784"	A	0.811
1638		"39,223"	A	0.804
758		7.452	A	1
3979	1	257.8	P	1
31142		6.702	A	1
2410	0.969	85.53	P	0.969
3394	1.411	111.2	P	1.411
3825	0.798	"1,091"	P	0.798
23028	1	558	P	1
17598	1	446.8	P	1
11744	0.876	597.8	P	0.876
25598	0.784	370.7	P	0.784
8206		6.768	A	1
17970		11.65	A	1.348
1911	0.884	157.8	P	0.884
12076	1	"2,794"	P	1
4933		7.643	A	1.015
8475	1.019	"15,950"	P	1.019
5589		7.413	A	1
18182		16.87	A	1.221
31887		25.26	A	1.086
13720		8.372	A	0.838
2512	0.926	199.4	P	0.926
659	0.764	72.34	P	0.764
13279	0.979	"6,908"	P	0.979
20212	1.054	990.2	P	1.054
6676	0.903	"3,888"	P	0.903
32577	1	"4,831"	P	1
9958	0.921	"2,331"	P	0.921
11670	1	"2,877"	P	1
9432	1	60.91	P	1
1046	1	30.98	P	1
650	1.417	"2,147"	P	1.417
16737	1	"1,082"	P	1
4805	0.96	"5,698"	P	0.96
7018	1	131.8	P	1
28344		6.486	A	1
28133		8.639	A	1.074
9656	1.025	"12,662"	P	1.025
32803	1.018	84.91	P	1.018
22949	1	70.4	P	1
20308		6.262	A	1
29547	0.875	"5,921"	P	0.875
17855	1	667.8	P	1
1804	1	274.8	P	1
6973	1.16	547.3	P	1.16
408	1.129	193.6	P	1.129
17829	1	"1,893"	P	1
28150	1.072	116.7	P	1.072
881		10.37	A	1.394
22402	1.116	220.2	P	1.116
35211		7.756	A	1
3924	0.974	46.36	P	0.974
29269	0.973	635.4	P	0.973
11076		13.48	A	1
4021		7.872	A	1
10061	0.899	"6,278"	P	0.899
36238	1	195.4	P	1
26672		15.65	A	0.795
17497	1	691.7	P	1
5733	1.002	"3,089"	P	1.002
7696	1.108	"1,923"	P	1.108
20393	0.983	"8,720"	P	0.983
13526	0.686	38.09	P	0.686
20243		8.824	A	0.639
19005	1.082	293.1	P	1.082
11193	1.075	934	P	1.075
1795	0.905	"8,137"	P	0.905
1907		22.6	A	1.173
7429	1.03	"2,736"	P	1.03
20060	0.961	"6,061"	P	0.961
21859	0.938	514.1	P	0.938
18258	0.869	"18,265"	P	0.869
5532	3.62	140.6	P	3.62
11116	0.825	40.37	P	0.825
9512		8.331	A	1
6049	0.962	"84,847"	P	0.962
29917	1	"2,768"	P	1
23210	1.075	"43,184"	P	1.075
2986	1.352	47.41	P	1.352
34874	1	39.29	P	1
2647	1	"1,439"	P	1
9444	1.081	"1,744"	P	1.081
4557	0.789	297.3	P	0.789
3710		7.636	A	1.034
13079	0.62	43.38	P	0.62
20739	1	42.43	P	1
22430	0.92	"119,745"	P	0.92
17556	1.332	56.04	P	1.332
20416	1	172	P	1
11219	0.854	"8,160"	P	0.854
12785	1.08	475.2	P	1.08
3322	1.064	634.2	P	1.064
3655	0.901	"6,691"	P	0.901
894	1	"1,497"	P	1
34335		8.217	A	0.972
28190	1	"6,542"	P	1
22602	1.016	"1,171"	P	1.016
8664	1.435	102.3	P	1.435
7275	1.033	"8,368"	P	1.033
22044	0.848	"1,637"	P	0.848
2793	1	"1,233"	P	1
7195		7.396	A	1
27041	1.288	148.1	P	1.288
9644	1	"1,634"	P	1
15884	1	515.5	P	1
713		8.266	A	1.006
1570	0.975	"22,009"	P	0.975
24507	1.167	252.3	P	1.167
31064		18.61	A	1
1091	0.967	146.5	P	0.967
2477	0.975	"2,515"	P	0.975
35276	1	"2,073"	P	1
16874	1.061	164.6	P	1.061
8057	1	281.3	P	1
18309	1.045	328	P	1.045
19463	1	997.7	P	1
13571	1.055	"3,022"	P	1.055
17783	1	"4,503"	P	1
1480	0.951	311.7	P	0.951
12973	1.042	"27,507"	P	1.042
8750		7.84	A	1.013
8547		26.24	A	0.765
22640	0.944	"12,223"	P	0.944
15569		6.637	A	0.986
19956	1	868.8	P	1
20706	1	722.5	P	1
13944	1	456.2	P	1
804	0.988	"31,908"	P	0.988
44581	1.022	"1,167"	P	1.022
1914	1	"3,141"	P	1
17433	0.773	"7,371"	P	0.773
33513		17.8	A	2.448
6682	0.996	253.5	P	0.996
19327		7.973	A	1.09
3131		7.616	A	1.094
26566		5.956	A	1
13775	1	44.29	P	1
30169	0.931	"2,295"	P	0.931
7074	1.031	"8,687"	P	1.031
11717	1	295.7	P	1
5164	1.106	152.5	P	1.106
10024	1	90.26	P	1
2954	0.839	280.9	P	0.839
31196	1	540.1	P	1
9694	1.161	215	P	1.161
30883	0.934	"2,554"	P	0.934
8036		10.72	A	1
16999	1	476.2	P	1
31305	1	"11,837"	P	1
6223	1	"2,139"	P	1
7870	1.161	"1,348"	P	1.161
25261	1.098	"3,328"	P	1.098
12661	0.84	"20,147"	P	0.84
9397	0.994	396.3	P	0.994
5804	1.072	"16,203"	P	1.072
1085	1.011	"2,519"	P	1.011
121	1	"1,455"	P	1
26195	1	65.24	P	1
5937	1.113	"1,553"	P	1.113
7113	1.008	"4,049"	P	1.008
4292	1	"11,876"	P	1
15959	0.877	159	P	0.877
28402	0.955	267.3	P	0.955
10621	0.892	134.8	P	0.892
25679	1.51	"2,916"	P	1.51
1643	0.988	721.2	P	0.988
6152	0.982	"3,359"	P	0.982
2711	1	103.5	P	1
13024	0.938	"7,610"	P	0.938
20166		6.491	A	1
4425	1	142.7	P	1
7299		6.954	A	1.037
24109	1	128.6	P	1
19527		6.562	A	1
16298	1	927.6	P	1
1280	0.965	"10,438"	P	0.965
23381	1	844	P	1
3342		7.675	A	1
18112		6.771	A	1
13043	1	"6,537"	P	1
17845	0.887	"7,679"	P	0.887
12627	1	"9,626"	P	1
45	5.197	38.74	P	5.197
11686	1	72.12	P	1
10887	1	"3,304"	P	1
9349	0.664	524.1	P	0.664
25757	1.101	346.1	P	1.101
29496	1	523.2	P	1
15728		7.431	A	1
16609	0.979	"12,670"	P	0.979
862	1.15	286.6	P	1.15
2865	1.025	"16,120"	P	1.025
22200		7.752	A	0.725
30456	1.119	"14,218"	P	1.119
3841	1.105	98.1	P	1.105
1264	1	104.2	P	1
2032	1	"11,478"	P	1
17111		7.444	A	1
32559	0.93	274.3	P	0.93
15675	1	"1,434"	P	1
6090		14.22	A	1.375
15343	1	51.17	P	1
17422		6.375	A	0.924
32525	0.893	"2,511"	P	0.893
4639	0.58	38.93	P	0.58
10123	1.061	97.76	P	1.061
2750	1	960	P	1
17936	0.887	43.06	P	0.887
4621	1.163	"27,961"	P	1.163
8136	0.995	63.49	P	0.995
309	1.421	"1,268"	P	1.421
20509	0.925	"12,342"	P	0.925
13936		22.47	A	1.078
61	1.063	"2,942"	P	1.063
7287	0.923	"3,602"	P	0.923
41946	0.92	"4,675"	P	0.92
34028	0.905	106.3	P	0.905
13687	1.025	"2,842"	P	1.025
4846	0.837	639.4	P	0.837
29521	0.929	302.8	P	0.929
18813	1.247	"5,673"	P	1.247
2724	0.996	629	P	0.996
1198	1.087	"1,313"	P	1.087
5207	1.302	70.45	P	1.302
2372	1.011	"2,304"	P	1.011
3084	1	"3,499"	P	1
26222	1	"3,269"	P	1
5233	1.135	"18,609"	P	1.135
32326	0.844	"57,433"	P	0.844
3329	1	"1,272"	P	1
28015	1	217.7	P	1
14307	1.129	"1,856"	P	1.129
21201		8.083	A	1
7684	1.09	"6,467"	P	1.09
28979	1.158	810.3	P	1.158
13730	0.99	98.72	P	0.99
5487	1	"1,806"	P	1
28394	1	"1,635"	P	1
36736		7.326	A	1
10699	1	77.87	P	1
22104	1	664.9	P	1
7980	1	167.8	P	1
4444	0.973	646.4	P	0.973
10166	0.898	"9,314"	P	0.898
11674	1	"6,271"	P	1
4767	1.311	869	P	1.311
4931	0.929	"7,367"	P	0.929
16677	1.024	901.4	P	1.024
7570		7.185	A	1
3279	1.005	"2,333"	P	1.005
13498	0.945	"8,289"	P	0.945
8908	0.789	225	P	0.789
7015	0.88	"6,770"	P	0.88
29272		8.517	A	0.751
2270	1.068	"8,644"	P	1.068
21522	0.93	"1,025"	P	0.93
19884	1	"3,407"	P	1
12952	2.539	70.89	P	2.539
6091		16.41	A	1.282
22868	1.068	"5,875"	P	1.068
32089		7.284	A	1
27729		7.276	A	1
14700	1.075	"2,873"	P	1.075
11419		15.34	A	1
25840	1	97.24	P	1
30806	0.887	961.6	P	0.887
19859	0.957	"3,656"	P	0.957
142	1	141.3	P	1
9465	1.061	"1,183"	P	1.061
3440	1.197	"3,880"	P	1.197
9795	1.233	514	P	1.233
15990	0.982	"3,360"	P	0.982
27933	0.979	"4,434"	P	0.979
22099	1.063	54.76	P	1.063
5537	0.894	"1,071"	P	0.894
12075		7.117	A	1
28577	1	51.87	P	1
9324	0.979	839.4	P	0.979
15330		9.68	A	1.184
35234	0.861	"15,777"	P	0.861
443	0.961	"2,896"	P	0.961
2589	1	"4,414"	P	1
1180	1.356	"4,875"	P	1.356
16668	1	785.9	P	1
30329	1.031	"37,375"	P	1.031
6360	1	309.5	P	1
11324	0.987	378.9	P	0.987
25326	1	962.7	P	1
1879	1	357.1	P	1
18306	0.848	870.9	P	0.848
21726	1.13	"16,090"	P	1.13
25145	0.9	"9,248"	P	0.9
11150	0.996	"12,524"	P	0.996
32030		15.46	A	1.028
6786	0.879	"7,975"	P	0.879
7658	1.162	"42,311"	P	1.162
9128	1.036	97.25	P	1.036
10530	1.049	143.9	P	1.049
14212	1.101	"26,502"	P	1.101
12604		6.444	A	1
3821	1	"7,199"	P	1
21093	1	306.3	P	1
14820	1	"1,338"	P	1
16473		7.996	A	1
25444	1	31.85	P	1
3687	1	259.5	P	1
7402		25.24	A	0.585
9544		6.887	A	1
19971	1	"67,124"	P	1
20623	1.205	477.3	P	1.205
5970	1	"5,763"	P	1
298	1.013	133.4	P	1.013
5985	0.869	"3,218"	P	0.869
7955	0.962	"2,872"	P	0.962
21051	1	"27,326"	P	1
5984	1.133	"69,932"	P	1.133
22694	0.898	330.3	P	0.898
1952	1.254	55.22	P	1.254
32715	1.064	"16,313"	P	1.064
28185	1	42.47	P	1
24012	1	"16,919"	P	1
3070	0.908	235.9	P	0.908
5906	0.861	390.3	P	0.861
3212	0.837	353.4	P	0.837
10412	0.951	"5,806"	P	0.951
13051	0.997	245.5	P	0.997
37499	1	"199,700"	P	1
535		7.633	A	1
31386		7.096	A	1
1257	1	184.9	P	1
4191	0.972	46.92	P	0.972
6895	0.959	"205,000"	P	0.959
5576	0.952	"29,486"	P	0.952
26849	0.971	"24,995"	P	0.971
