Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
556		3.958	A	0.45
1475		"269,898"	A	0.983
117		9.747	A	1.036
1414		11.3	A	0.988
1465		41.91	A	1.087
1315		402	A	1.041
836		"1,173"	A	1.021
1401		"4,604"	A	1.147
141		"12,069"	A	1.129
3027		"37,124"	A	1.036
1638		"55,250"	A	1.004
758		5.445	A	0.648
3979	1.647	479	P	1.647
31142	3.489	26.37	P	3.489
2410	1.589	158.1	P	1.589
3394	0.516	45.82	P	0.516
3825	0.991	"1,527"	P	0.991
23028	1.576	991.6	P	1.576
17598	1.274	642.2	P	1.274
11744	0.378	290.9	P	0.378
25598	1.066	568.3	P	1.066
8206		3.602	A	0.472
17970	3.239	31.57	P	3.239
1911	0.866	174.5	P	0.866
12076	0.584	"1,841"	P	0.584
4933		4.167	A	0.491
8475	1.206	"21,279"	P	1.206
5589		6.05	A	0.724
18182		10.01	A	0.642
31887		10.85	A	0.414
13720		6.29	A	0.558
2512	2.123	515.6	P	2.123
659	1.177	125.8	P	1.177
13279	1.049	"8,350"	P	1.049
20212	1.597	"1,692"	P	1.597
6676	0.646	"3,138"	P	0.646
32577	1.075	"5,860"	P	1.075
9958	0.77	"2,197"	P	0.77
11670	1.625	"5,272"	P	1.625
9432	0.777	53.35	P	0.777
1046	1.34	46.83	P	1.34
650	0.718	"1,227"	P	0.718
16737	0.833	"1,017"	P	0.833
4805	0.829	"5,548"	P	0.829
7018	2.561	380.8	P	2.561
28344		4.12	A	0.563
28133		3.72	A	0.41
9656	0.888	"12,371"	P	0.888
32803	1.288	121.2	P	1.288
22949	3.244	257.5	P	3.244
20308		3.478	A	0.492
29547	0.786	"5,997"	P	0.786
17855	2.026	"1,526"	P	2.026
1804	1.113	345	P	1.113
6973	1.024	545.2	P	1.024
408	0.994	192.3	P	0.994
17829	0.942	"2,010"	P	0.942
28150	2.003	245.8	P	2.003
881		5.41	A	0.645
22402	3.715	827.2	P	3.715
35211		4.262	A	0.487
3924	0.879	47.17	P	0.879
29269	0.425	312.7	P	0.425
11076	3.179	48.33	P	3.179
4021		4.178	A	0.471
10061	1.025	"8,078"	P	1.025
36238	1.652	363.9	P	1.652
26672		8.844	A	0.398
17497	1.244	970.5	P	1.244
5733	1.029	"3,579"	P	1.029
7696	1.027	"2,009"	P	1.027
20393	0.691	"6,915"	P	0.691
13526	0.909	56.94	P	0.909
20243	1.373	21.37	P	1.373
