Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
556		5.056	A	1.576
1475		"134,999"	A	1.347
117		5.04	A	1.468
1414		6.354	A	1.523
1465		15.92	A	1.131
1315		178.3	A	1.265
836		521.6	A	1.245
1401		"1,747"	A	1.193
141		"4,869"	A	1.248
3027		"16,665"	A	1.274
1638		"33,939"	A	1.69
758		4.638	A	1.512
3979	1.404	149	P	1.404
31142		4.473	A	1.622
2410	0.866	31.46	P	0.866
3394	1.311	42.51	P	1.311
3825	1.072	602.8	P	1.072
23028	1.257	288.6	P	1.257
17598	1.204	221.4	P	1.204
11744	0.688	193.1	P	0.688
25598	1.281	249.2	P	1.281
8206		4.221	A	1.516
17970		4.274	A	1.202
1911	1.01	74.21	P	1.01
12076	0.873	"1,004"	P	0.873
4933		4.622	A	1.491
8475	0.85	"5,472"	P	0.85
5589		4.481	A	1.469
18182		4.47	A	0.786
31887		10.62	A	1.109
13720		7.193	A	1.749
2512	1.378	122.1	P	1.378
659	0.876	34.18	P	0.876
13279	1.058	"3,073"	P	1.058
20212	0.653	252.4	P	0.653
6676	1.155	"2,046"	P	1.155
32577	1.003	"1,995"	P	1.003
9958	1.086	"1,131"	P	1.086
11670	0.982	"1,163"	P	0.982
9432	1.502	37.65	P	1.502
1046		8.859	A	0.695
650	0.881	549	P	0.881
16737	1.168	520.2	P	1.168
4805	1.083	"2,646"	P	1.083
7018	0.925	50.18	P	0.925
28344		4.155	A	1.557
28133		4.388	A	1.325
9656	0.992	"5,044"	P	0.992
32803	0.891	30.56	P	0.891
22949	1.515	43.9	P	1.515
20308		3.924	A	1.522
29547	1.14	"3,174"	P	1.14
17855	1.009	277.4	P	1.009
1804	0.846	95.65	P	0.846
6973	1.07	207.7	P	1.07
408	1.165	82.17	P	1.165
17829	0.899	700.6	P	0.899
28150	0.877	39.27	P	0.877
881		4.454	A	1.455
22402	0.858	69.69	P	0.858
35211		4.915	A	1.54
3924		17.67	A	0.902
29269	0.922	247.8	P	0.922
11076		11.34	A	2.045
4021		4.991	A	1.54
10061	1.168	"3,358"	P	1.168
36238	1.042	83.74	P	1.042
26672		15.69	A	1.935
17497	1.09	310.2	P	1.09
5733	1.026	"1,302"	P	1.026
7696	0.617	440.3	P	0.617
20393	1.064	"3,887"	P	1.064
13526	0.989	22.6	P	0.989
20243		4.116	A	0.725
19005	0.854	95.2	P	0.854
11193	0.927	331.5	P	0.927
1795	1.206	"4,463"	P	1.206
1907		5.091	A	0.642
7429	0.882	964.8	P	0.882
20060	0.61	"1,585"	P	0.61
21859	1.43	322.7	P	1.43
18258	1.145	"9,911"	P	1.145
5532		11.25	A	0.703
11116		12.44	A	0.618
9512		4.519	A	1.318
6049	1.374	"49,866"	P	1.374
29917	0.797	907.9	P	0.797
23210	0.949	"15,687"	P	0.949
2986		15.99	A	1.108
34874	1.49	24.09	P	1.49
2647	0.96	568.9	P	0.96
9444	1.104	732.9	P	1.104
4557	0.891	138.1	P	0.891
3710		4.642	A	1.527
13079	0.969	27.89	P	0.969
20739		11.76	A	0.674
22430	1.041	"55,764"	P	1.041
17556	1.095	18.95	P	1.095
20416	0.989	70.01	P	0.989
11219	1.161	"4,564"	P	1.161
12785	0.804	145.6	P	0.804
3322	0.806	197.8	P	0.806
3655	1.056	"3,228"	P	1.056
894	0.815	502.3	P	0.815
34335		5.117	A	1.47
28190	1.223	"3,294"	P	1.223
22602	1.123	532.4	P	1.123
8664	1.585	46.48	P	1.585
7275	0.733	"2,444"	P	0.733
22044	1.18	937.9	P	1.18
2793	1.019	516.8	P	1.019
7195		4.726	A	1.553
27041	0.624	29.54	P	0.624
9644	1.164	782.4	P	1.164
15884	1.016	215.6	P	1.016
713		4.964	A	1.467
1570	0.903	"8,394"	P	0.903
24507	0.674	60.02	P	0.674
31064		9.777	A	1.276
1091	1.396	87.06	P	1.396
2477	1.196	"1,270"	P	1.196
35276	1.856	"1,583"	P	1.856
16874	1.194	76.17	P	1.194
8057	1.444	167.2	P	1.444
18309	1.171	151.4	P	1.171
19463	0.653	268	P	0.653
13571	1.022	"1,204"	P	1.022
17783	1.033	"1,916"	P	1.033
1480	0.904	122	P	0.904
12973	0.818	"8,889"	P	0.818
8750		4.846	A	1.522
8547		20.15	A	1.427
22640	1.187	"6,321"	P	1.187
15569		4.182	A	1.51
19956	1.005	359.5	P	1.005
20706	1.241	369.1	P	1.241
13944	1.534	288.1	P	1.534
804	0.903	"11,997"	P	0.903
44581	0.897	421.6	P	0.897
1914	0.842	"1,089"	P	0.842
17433	1.02	"4,006"	P	1.02
33513		5.049	A	1.687
6682	0.943	98.79	P	0.943
19327		7.655	A	2.542
3131		4.25	A	1.483
26566		3.863	A	1.576
13775	1.453	26.49	P	1.453
30169	1.151	"1,168"	P	1.151
7074	0.972	"3,371"	P	0.972
11717	1.597	194.4	P	1.597
5164	0.94	53.36	P	0.94
10024	1.327	49.31	P	1.327
2954	2.51	345.9	P	2.51
31196	0.399	88.65	P	0.399
9694	1.235	94.14	P	1.235
30883	1.296	"1,460"	P	1.296
8036		4.359	A	0.988
16999	1.126	220.7	P	1.126
31305	0.948	"4,619"	P	0.948
6223	0.996	877.2	P	0.996
7870	1.178	562.8	P	1.178
25261	0.786	981	P	0.786
12661	1.055	"10,417"	P	1.055
9397	0.646	106.1	P	0.646
5804	1.191	"7,410"	P	1.191
1085	0.757	776.4	P	0.757
121	1.06	634.7	P	1.06
26195	1.117	29.99	P	1.117
5937	1.157	664.6	P	1.157
7113	0.943	"1,559"	P	0.943
4292	1.082	"5,287"	P	1.082
15959	1.219	90.97	P	1.219
28402	0.883	101.7	P	0.883
10621	0.895	55.67	P	0.895
25679	1.096	871.3	P	1.096
1643	0.609	183.1	P	0.609
6152	1.133	"1,595"	P	1.133
2711	0.744	31.7	P	0.744
13024	0.599	"2,002"	P	0.599
20166		4.25	A	1.591
4425	1.001	58.78	P	1.001
7299		4.18	A	1.515
24109	1.052	55.7	P	1.052
19527		4.273	A	1.582
16298	1.585	605.3	P	1.585
1280	0.956	"4,255"	P	0.956
23381	1.007	349.9	P	1.007
3342		4.739	A	1.5
18112		4.022	A	1.443
13043	0.595	"1,602"	P	0.595
17845	1.167	"4,159"	P	1.167
12627	1.094	"4,332"	P	1.094
45		4.508	A	1.469
11686	1.58	46.89	P	1.58
10887	1.08	"1,469"	P	1.08
9349	1.201	390	P	1.201
25757	1.055	136.4	P	1.055
29496	1.133	244	P	1.133
15728		4.761	A	1.557
16609	1.041	"5,546"	P	1.041
862	1.7	174.4	P	1.7
2865	1.093	"7,077"	P	1.093
22200		5.441	A	1.237
30456	0.671	"3,508"	P	0.671
3841	1.072	39.17	P	1.072
1264	0.656	28.16	P	0.656
2032	1.207	"5,703"	P	1.207
17111		4.342	A	1.417
32559	0.927	112.6	P	0.927
15675	0.895	528.5	P	0.895
6090		4.764	A	1.119
15343	0.97	20.44	P	0.97
17422	24.28	68.95	P	24.28
32525	0.989	"1,144"	P	0.989
4639	1.179	32.55	P	1.179
10123	0.909	34.48	P	0.909
2750	0.851	336.2	P	0.851
17936	0.901	18	P	0.901
4621	0.897	"8,872"	P	0.897
8136	2.507	65.87	P	2.507
309	0.778	285.6	P	0.778
20509	0.9	"4,940"	P	0.9
13936		5.647	A	0.658
61	1.015	"1,156"	P	1.015
7287	0.712	"1,144"	P	0.712
41946	1.083	"2,265"	P	1.083
34028	0.953	46.02	P	0.953
13687	0.74	844.1	P	0.74
4846	0.819	257.6	P	0.819
29521	1.075	144.2	P	1.075
18813	0.775	"1,452"	P	0.775
2724	0.758	197.1	P	0.758
1198	1.111	552.3	P	1.111
5207		18.01	A	0.809
2372	0.914	857.2	P	0.914
3084	1.169	"1,683"	P	1.169
26222	0.82	"1,103"	P	0.82
5233	0.999	"6,743"	P	0.999
32326	1.077	"30,154"	P	1.077
3329	1.114	583.2	P	1.114
28015	1.443	129.3	P	1.443
14307	1.146	775.5	P	1.146
21201		10.38	A	3.121
7684	0.98	"2,392"	P	0.98
28979	0.847	244	P	0.847
13730	0.783	32.1	P	0.783
5487	0.946	702.9	P	0.946
28394	0.945	636.2	P	0.945
36736		4.713	A	1.563
10699	0.937	30.02	P	0.937
22104	1.144	313	P	1.144
7980	1.553	107.2	P	1.553
4444	0.925	252.9	P	0.925
10166	0.984	"4,202"	P	0.984
