Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
556		6.12	A	0.737
1475		"240,250"	A	0.925
117		6.455	A	0.726
1414		9.947	A	0.92
1465		32.29	A	0.886
1315		327.5	A	0.897
836		"1,019"	A	0.939
1401		"3,733"	A	0.984
141		"9,465"	A	0.937
3027		"32,544"	A	0.96
1638		"43,879"	A	0.843
758		6.014	A	0.757
3979	1.312	360.6	P	1.312
31142		16.23	A	2.271
2410	2.791	262.7	P	2.791
3394	1.1	92.38	P	1.1
3825	1.699	"2,476"	P	1.699
23028	0.987	587.2	P	0.987
17598	1.148	546.7	P	1.148
11744	1.78	"1,295"	P	1.78
25598	1.136	572.9	P	1.136
8206		5.151	A	0.714
17970	3.97	36.58	P	3.97
1911	0.738	140.6	P	0.738
12076	0.716	"2,133"	P	0.716
4933		6.222	A	0.775
8475	1.111	"18,533"	P	1.111
5589		5.737	A	0.726
18182		16.98	A	1.153
31887		15.44	A	0.622
13720		5.335	A	0.501
2512	1.381	317	P	1.381
659	2.033	205.3	P	2.033
13279	0.926	"6,964"	P	0.926
20212	0.686	687.7	P	0.686
6676	0.754	"3,461"	P	0.754
32577	1.033	"5,324"	P	1.033
9958	0.935	"2,523"	P	0.935
11670	0.925	"2,836"	P	0.925
9432	0.743	48.24	P	0.743
1046	1.283	42.4	P	1.283
650	0.666	"1,075"	P	0.666
16737	1.326	"1,530"	P	1.326
4805	0.942	"5,962"	P	0.942
7018	0.911	128	P	0.911
28344		5.561	A	0.804
28133		5.301	A	0.618
9656	1.195	"15,739"	P	1.195
32803	0.813	72.3	P	0.813
22949	1.765	132.5	P	1.765
20308		4.983	A	0.746
29547	0.928	"6,694"	P	0.928
17855	1.124	800.8	P	1.124
1804	1.894	555	P	1.894
6973	1.307	657.8	P	1.307
408	1.186	216.7	P	1.186
17829	1.509	"3,046"	P	1.509
28150	1.117	129.6	P	1.117
881		6.253	A	0.788
22402	1.438	302.6	P	1.438
35211		6.633	A	0.802
3924	1.101	55.89	P	1.101
29269	0.958	666.7	P	0.958
11076		17.48	A	1.216
4021		6.078	A	0.724
10061	0.925	"6,891"	P	0.925
36238	0.782	162.9	P	0.782
26672		10.09	A	0.48
17497	0.943	695.7	P	0.943
5733	1.044	"3,434"	P	1.044
7696	1.042	"1,928"	P	1.042
20393	0.955	"9,039"	P	0.955
13526	0.942	55.79	P	0.942
20243		12.14	A	0.825
19005	0.753	217.4	P	0.753
11193	0.778	720.6	P	0.778
1795	1.285	"12,323"	P	1.285
1907		15.1	A	0.735
7429	0.913	"2,586"	P	0.913
20060	1.021	"6,870"	P	1.021
21859	1.016	593.7	P	1.016
18258	0.857	"19,210"	P	0.857
5532	0.696	28.84	P	0.696
11116	0.865	45.12	P	0.865
9512		5.438	A	0.612
6049	1.02	"95,837"	P	1.02
29917	0.629	"1,857"	P	0.629
23210	0.837	"35,870"	P	0.837
2986		21.27	A	0.569
34874	0.789	33.06	P	0.789
2647	1.154	"1,771"	P	1.154
9444	0.799	"1,374"	P	0.799
4557	2.007	805.9	P	2.007
3710		5.625	A	0.714
13079	2.117	157.8	P	2.117
20739	0.724	32.77	P	0.724
22430	1.224	"169,812"	P	1.224
17556	1.351	60.58	P	1.351
20416	1.557	285.5	P	1.557
11219	0.893	"9,100"	P	0.893
12785	0.671	314.7	P	0.671
3322	0.665	422.8	P	0.665
3655	1.098	"8,690"	P	1.098
894	0.628	"1,002"	P	0.628
34335		8.797	A	0.975
28190	0.958	"6,684"	P	0.958
22602	1.429	"1,755"	P	1.429
8664		11.39	A	0.15
7275	1.683	"14,538"	P	1.683
22044	1.414	"2,912"	P	1.414
2793	0.938	"1,233"	P	0.938
7195		5.482	A	0.695
27041	1.499	183.8	P	1.499
9644	0.798	"1,390"	P	0.798
15884	0.555	305	P	0.555
713		6.771	A	0.773
1570	1.561	"37,578"	P	1.561
24507	0.697	160.8	P	0.697
31064	1.304	25.87	P	1.304
1091	0.603	97.37	P	0.603
2477	1.068	"2,937"	P	1.068
35276	0.599	"1,324"	P	0.599
16874	1.142	188.8	P	1.142
8057	0.852	255.6	P	0.852
18309	0.682	228.3	P	0.682
19463	0.719	765.4	P	0.719
13571	0.604	"1,845"	P	0.604
17783	1.084	"5,204"	P	1.084
1480	2.86	999.7	P	2.86
12973	0.755	"21,244"	P	0.755
8750		5.828	A	0.706
8547	0.882	32.26	P	0.882
22640	0.804	"11,100"	P	0.804
15569		9.681	A	1.349
19956	0.907	840.2	P	0.907
20706	0.862	663.9	P	0.862
13944	0.991	482	P	0.991
804	1.039	"35,756"	P	1.039
44581	0.71	864.7	P	0.71
1914	0.852	"2,853"	P	0.852
17433	1.314	"13,366"	P	1.314
33513		14.53	A	1.874
6682	0.976	264.7	P	0.976
19327		5.129	A	0.657
3131		7.272	A	0.979
26566		4.91	A	0.773
13775	0.787	37.15	P	0.787
30169	1.681	"4,420"	P	1.681
7074	1.109	"9,962"	P	1.109
11717	6.846	"2,159"	P	6.846
5164	1.094	160.8	P	1.094
10024	0.77	74.1	P	0.77
2954	0.707	252.3	P	0.707
31196	1.894	"1,091"	P	1.894
9694	0.843	166.5	P	0.843
30883	1.483	"4,324"	P	1.483
8036	3.714	42.47	P	3.714
16999	0.553	281.1	P	0.553
31305	0.89	"11,227"	P	0.89
6223	1.552	"3,541"	P	1.552
7870	0.369	457.3	P	0.369
25261	0.549	"1,773"	P	0.549
12661	0.992	"25,372"	P	0.992
9397	1.328	564.5	P	1.328
5804	1.064	"17,150"	P	1.064
1085	2.332	"6,196"	P	2.332
121	0.682	"1,058"	P	0.682
26195	0.848	59	P	0.848
5937	0.793	"1,179"	P	0.793
7113	1.197	"5,130"	P	1.197
4292	1.121	"14,191"	P	1.121
15959	0.993	192.1	P	0.993
28402	0.946	282.4	P	0.946
10621	2.565	413.2	P	2.565
25679	0.786	"1,619"	P	0.786
1643	1.319	"1,027"	P	1.319
6152	1.099	"4,008"	P	1.099
2711	1.121	123.6	P	1.121
13024	1.266	"10,952"	P	1.266
20166		5.245	A	0.758
4425	1.04	158.3	P	1.04
7299		5.103	A	0.714
24109	0.685	94	P	0.685
19527		7.595	A	1.085
16298	1.017	"1,006"	P	1.017
1280	0.664	"7,652"	P	0.664
23381	1.216	"1,095"	P	1.216
3342		6.242	A	0.763
18112		12.34	A	1.71
13043	0.802	"5,587"	P	0.802
17845	1.223	"11,295"	P	1.223
12627	1.428	"14,654"	P	1.428
45		6.227	A	0.783
11686	1.045	80.33	P	1.045
10887	1.182	"4,165"	P	1.182
9349	3.815	"3,209"	P	3.815
25757	1.23	412.2	P	1.23
29496	1.111	619.9	P	1.111
15728		5.912	A	0.746
16609	1.169	"16,133"	P	1.169
862	0.575	153	P	0.575
2865	1.188	"19,928"	P	1.188
22200	2.593	29.55	P	2.593
30456	0.611	"8,275"	P	0.611
3841	0.549	51.94	P	0.549
1264	1.7	188.9	P	1.7
2032	1.045	"12,794"	P	1.045
17111		5.286	A	0.666
32559	0.625	196.5	P	0.625
15675	1.197	"1,831"	P	1.197
6090		23.3	A	2.113
15343	1.555	84.83	P	1.555
17422		16.76	A	2.277
32525	1.313	"3,938"	P	1.313
4639	0.483	34.58	P	0.483
10123	0.568	55.82	P	0.568
2750	0.557	570.1	P	0.557
17936	0.714	36.98	P	0.714
4621	1.258	"32,243"	P	1.258
8136	1.317	89.66	P	1.317
309	1.895	"1,804"	P	1.895
20509	0.488	"6,935"	P	0.488
13936	1.282	28.49	P	1.282
61	1.143	"3,371"	P	1.143
7287	1.325	"5,514"	P	1.325
41946	1.295	"7,016"	P	1.295
34028	2.778	347.7	P	2.778
