Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
21010	1.003	"1,758"	P	1.003
19143	2.445	"1,112"	P	2.445
17872	0.995	842.9	P	0.995
11979	0.722	346.9	P	0.722
5557	3.67	25.79	P	3.67
25627		4.107	A	1.482
3527	0.65	294.1	P	0.65
5595		4.175	A	1.385
1386	1.189	"20,461"	P	1.189
10680	0.95	"4,129"	P	0.95
22820		3.983	A	1.466
24693	1.018	"1,720"	P	1.018
19112		5.864	A	0.784
3107	2.075	264.4	P	2.075
17756		7.654	A	0.681
21962		4.101	A	0.185
1720		4.966	A	1.495
19021	1.544	770.9	P	1.544
20345	2.918	22.05	P	2.918
14266	1.273	334.4	P	1.273
33157	1.072	366.4	P	1.072
39219	1.185	"7,524"	P	1.185
21737	0.601	436.1	P	0.601
8765	1.274	"154,868"	P	1.274
25359	6.294	20.35	P	6.294
21396	0.719	"2,902"	P	0.719
24647	0.972	"9,487"	P	0.972
8860		4.215	A	0.678
10664	1.586	"39,261"	P	1.586
21621	0.644	"3,008"	P	0.644
1129	0.0766	"1,010"	P	0.0766
9791		4.353	A	1.39
13248	0.974	"7,934"	P	0.974
4917		4.114	A	1.393
3246		5.422	A	1.445
2248	0.803	"4,204"	P	0.803
7159	1.21	651.4	P	1.21
10876	0.746	"3,335"	P	0.746
3225	1.793	635.3	P	1.793
30263		8.274	A	0.319
201	0.737	798.3	P	0.737
1542	2.207	192.1	P	2.207
1672	2.282	47.46	P	2.282
3796		10.25	A	0.231
17305	11.32	35.03	P	11.32
1066		5.003	A	1.442
6487	0.22	368.8	P	0.22
16226	1.454	"3,751"	P	1.454
1164	0.946	460.9	P	0.946
8007	0.882	601.3	P	0.882
31162		4.6	A	1.523
17085	0.842	"1,466"	P	0.842
9533		4.291	A	1.37
12189	1.252	384.9	P	1.252
5437	0.684	"1,770"	P	0.684
17785		4.464	A	0.955
8674	0.589	110.3	P	0.589
16374	0.651	"3,055"	P	0.651
1546	0.953	508.1	P	0.953
6853	0.775	"2,168"	P	0.775
16108		3.925	A	1.371
10312	1.382	150.8	P	1.382
26773	0.744	"2,168"	P	0.744
12439	0.671	"1,059"	P	0.671
32989	0.699	28.98	P	0.699
36611	1.828	557.7	P	1.828
10366	1.163	27.9	P	1.163
19395	0.981	639.7	P	0.981
9726	1.365	"8,667"	P	1.365
